SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
665,8084128,8085382,1254,43
666,8134728,8135982,1254,0
667,8185329,8186573,1244,10
668,8235929,8237158,1229,15
669,8286529,8287783,1254,25
670,8337128,8338360,1232,22
671,8387728,8389004,1276,44
672,8438329,8439571,1242,34
673,8488929,8490172,1243,1
674,8539529,8540737,1208,35
675,8590128,8591410,1282,74
676,8640728,8641967,1239,43
677,8691329,8692581,1252,13
678,8741929,8743153,1224,28
679,8792529,8793759,1230,6
680,8843128,8844352,1224,6
681,8893728,8894977,1249,25
682,8944329,8945563,1234,15
683,8994929,8996167,1238,4
684,9045529,9046761,1232,6
685,9096128,9097374,1246,14
686,9146728,9147934,1206,40
687,9197329,9198598,1269,63
688,9247929,9249154,1225,44
689,9298529,9299759,1230,5
690,9349128,9350352,1224,6
691,9399728,9400981,1253,29
692,9450329,9451547,1218,35
693,9500929,9502200,1271,53
694,9551529,9552749,1220,51
695,9602128,9603362,1234,14
696,9652728,9653955,1227,7
697,9703329,9704573,1244,17
698,9753929,9755146,1217,27
699,9804529,9805771,1242,25
700,9855128,9856356,1228,14
701,9905728,9906965,1237,9
702,9956329,9957544,1215,22
703,10006929,10008172,1243,28
704,10057529,10058757,1228,15
705,10108128,10109374,1246,18
706,10158728,10159947,1219,27
707,10209329,10210618,1289,70
708,10259929,10261146,1217,72
709,10310529,10311763,1234,17
710,10361128,10362356,1228,6
711,10411728,10412985,1257,29
712,10462329,10463544,1215,42
713,10512929,10514180,1251,36
714,10563529,10564746,1217,34
715,10614128,10615359,1231,14
716,10664728,10665940,1212,19
717,10715329,10716578,1249,37
718,10765929,10767147,1218,31
719,10816529,10817760,1231,13
720,10867128,10868345,1217,14
721,10917728,10918966,1238,21
722,10968329,10969548,1219,19
723,11018929,11020169,1240,21
724,11069529,11070738,1209,31
725,11120128,11121384,1256,47
726,11170728,11171933,1205,51
727,11221329,11222575,1246,41
728,11271929,11273164,1235,11
729,11322529,11323765,1236,1
730,11373128,11374338,1210,26
731,11423728,11424979,1251,41
732,11474329,11475549,1220,31
733,11524929,11526161,1232,12
734,11575529,11576743,1214,18
735,11626128,11627392,1264,50
736,11676728,11677957,1229,35
737,11727329,11728572,1243,14
738,11777929,11779128,1199,44
739,11828529,11829781,1252,53
740,11879128,11880342,1214,38
741,11929728,11930975,1247,33
742,11980329,11981550,1221,26
743,12030929,12032158,1229,8
744,12081529,12082747,1218,11
745,12132128,12133385,1257,39
746,12182728,12183933,1205,52
747,12233329,12234568,1239,34
748,12283929,12285137,1208,31
749,12334529,12335786,1257,49
750,12385128,12386359,1231,26
751,12435728,12436984,1256,25
752,12486329,12487566,1237,19
753,12536929,12538163,1234,3
754,12587529,12588768,1239,5
755,12638128,12639429,1301,62
756,12688728,12689966,1238,63
757,12739329,12740585,1256,18
758,12789929,12791129,1200,56
759,12840529,12841755,1226,26
760,12891128,12892356,1228,2
761,12941728,12942988,1260,32
762,12992329,12993559,1230,30
763,13042929,13044171,1242,12
764,13093529,13094737,1208,34
765,13144128,13145390,1262,54
766,13194728,13195942,1214,48
767,13245329,13246574,1245,31
768,13295929,13297174,1245,0
769,13346529,13347775,1246,1
770,13397128,13398352,1224,22
771,13447728,13448992,1264,40
772,13498329,13499555,1226,38
773,13548929,13550168,1239,13
774,13599529,13602281,2752,1513
775,13650128,13655546,5418,2666
776,13700728,13701927,1199,4219
777,13751329,13752553,1224,25
778,13801929,13803154,1225,1
779,13852529,13853775,1246,21
780,13903128,13904396,1268,22
781,13953728,13955009,1281,13
782,14004329,14005595,1266,15
783,14054929,14056216,1287,21
784,14105529,14106777,1248,39
785,14156128,14157434,1306,58
786,14206728,14207987,1259,47
787,14257329,14258594,1265,6
788,14307929,14309146,1217,48
789,14358529,14359823,1294,77
790,14409128,14410368,1240,54
791,14459728,14460989,1261,21
792,14510329,14511560,1231,30
793,14560929,14562176,1247,16
794,14611529,14612833,1304,57
795,14662128,14663394,1266,38
796,14712728,14713987,1259,7
797,14763329,14764594,1265,6
798,14813929,14815150,1221,44
799,14864529,14865775,1246,25
800,14915128,14916393,1265,19
801,14965728,14967001,1273,8
802,15016329,15017552,1223,50
803,15066929,15068312,1383,160
804,15117529,15118761,1232,151
805,15168128,15169443,1315,83
806,15218728,15219967,1239,76
807,15269329,15270582,1253,14
808,15319929,15321158,1229,24
809,15370529,15371792,1263,34
810,15421128,15422369,1241,22
811,15471728,15472986,1258,17
812,15522329,15523560,1231,27
813,15572929,15574224,1295,64
814,15623529,15624790,1261,34
815,15674128,15675422,1294,33
816,15724728,15725971,1243,51
817,15775329,15776570,1241,2
818,15825929,15827154,1225,16
819,15876529,15877780,1251,26
820,15927128,15928369,1241,10
821,15977728,15978997,1269,28
822,16028329,16029541,1212,57
823,16078929,16080177,1248,36
824,16129529,16130758,1229,19
825,16180128,16181411,1283,54
826,16230728,16231951,1223,60
827,16281329,16282574,1245,22
828,16331929,16333163,1234,11
829,16382529,16383800,1271,37
830,16433128,16434405,1277,6
831,16483728,16484998,1270,7
832,16534329,16535565,1236,34
833,16584929,16586237,1308,72
834,16635529,16636795,1266,42
835,16686128,16687412,1284,18
836,16736728,16737956,1228,56
837,16787329,16788591,1262,34
838,16837929,16839159,1230,32
839,16888529,16889777,1248,18
840,16939128,16940349,1221,27
841,16989728,16991002,1274,53
842,17040329,17041553,1224,50
843,17090929,17092173,1244,20
844,17141529,17142758,1229,15
845,17192128,17193403,1275,46
846,17242728,17243952,1224,51
847,17293329,17294579,1250,26
848,17343929,17345155,1226,24
849,17394529,17395761,1232,6
850,17445128,17446382,1254,22
851,17495728,17496986,1258,4
852,17546329,17547549,1220,38
853,17596929,17598302,1373,153
854,17647529,17648815,1286,87
855,17698128,17699448,1320,34
856,17748728,17749944,1216,104
857,17799329,17800575,1246,30
858,17849929,17851144,1215,31
859,17900529,17901797,1268,53
860,17951128,17952326,1198,70
861,18001728,18002975,1247,49
862,18052329,18053541,1212,35
863,18102929,18104206,1277,65
864,18153529,18154791,1262,15
865,18204128,18205384,1256,6
866,18254728,18255940,1212,44
867,18305329,18306567,1238,26
868,18355929,18357144,1215,23
869,18406529,18407801,1272,57
870,18457128,18458398,1270,2
871,18507728,18508955,1227,43
872,18558329,18559598,1269,42
873,18608929,18610286,1357,88
874,18659529,18660751,1222,135
875,18710128,18711404,1276,54
876,18760728,18761969,1241,35
877,18811329,18812583,1254,13
878,18861929,18863144,1215,39
879,18912529,18913777,1248,33
880,18963128,18964346,1218,30
881,19013728,19014979,1251,33
882,19064329,19065558,1229,22
883,19114929,19116162,1233,4
884,19165529,19166739,1210,23
885,19216128,19217389,1261,51
886,19266728,19267945,1217,44
887,19317329,19318592,1263,46
888,19367929,19369168,1239,24
889,19418529,19419773,1244,5
890,19469128,19470375,1247,3
891,19519728,19520971,1243,4
892,19570329,19571550,1221,22
893,19620929,19622170,1241,20
894,19671529,19672767,1238,3
895,19722128,19723396,1268,30
896,19772728,19773953,1225,43
897,19823329,19824568,1239,14
898,19873929,19875152,1223,16
899,19924529,19925797,1268,45
900,19975128,19976358,1230,38
901,20025728,20026967,1239,9
902,20076329,20077550,1221,18
903,20126929,20131551,4622,3401
904,20177529,20178816,1287,3335
905,20228128,20229429,1301,14
906,20278728,20279937,1209,92
907,20329329,20330576,1247,38
908,20379929,20381156,1227,20
909,20430529,20431782,1253,26
910,20481128,20482347,1219,34
911,20531728,20532979,1251,32
912,20582329,20583558,1229,22
913,20632929,20634194,1265,36
914,20683529,20684772,1243,22
915,20734128,20735386,1258,15
916,20784728,20785954,1226,32
917,20835329,20836589,1260,34
918,20885929,20887145,1216,44
919,20936529,20937766,1237,21
920,20987128,20988375,1247,10
921,21037728,21042336,4608,3361
922,21088329,21089675,1346,3262
923,21138929,21144259,5330,3984
924,21189529,21190700,1171,4159
